"","WOREDACODE","Mean_Lime_required","W_NAME"
"353",70109,1.86285275,"Gumer"
"354",70110,1.992816,"Cheha"
"355",70111,2.33582625,"ENEMOR ENER"
"356",70112,1.981535,"Muhur NA Aklil"
"357",70113,1.75625,"Geta"
"358",70201,1.64542725,"Misha"
"359",70202,2.511241,"Gibe"
"360",70203,1.88919275,"LEMMO"
"361",70204,1.46775681111111,"Shashago"
"362",70205,1.718025,"MISRAK BADAWOCHO"
"363",70206,1.760116,"Soro"
"364",70207,1.78267925,"Duna"
"365",70208,1.4986789,"Analemmo"
"366",70209,1.952215,"MERAB BADAWOCHO"
"367",70210,2.6389645,"Gombora"
"368",70301,1.863212,"Tibaro"
"369",70302,2.075158,"Anigacha"
"370",70303,2.370849,"Kedida Gamela"
"371",70304,2.04370239393939,"Kacha Bira"
"372",70305,1.9646975,"Hadaro Tunito"
"373",70306,2.02378675,"Doyo Gena"
"374",70307,2.0642365,"Daniboya"
"375",70406,2.583861375,"Dara"
"376",70502,2.97509,"Yirgachefe"
"377",70503,2.3536065,"Kochore"
"378",70505,3.119769,"DilaZuria"
"379",70506,3.02415769230769,"Gedeb"
"380",70601,2.4142955,"BOLOSSA SORE"
"381",70602,1.71536209090909,"DAMOT GALE"
"382",70603,2.277462,"Damot Woyide"
"383",70605,1.8752415,"Sodo Zuriya"
"384",70608,2.119555,"Bolossa Bonibe"
"385",70609,2.03543133333333,"Damot Sore"
"386",70611,1.185769,"Damot Pulasa"
"387",70702,2.3389205862069,"South Ari"
"388",70703,2.27838828571429,"GELILA"
"389",70801,3.38881964285714,"Masha"
"390",70802,4.326794,"ANDERACHA"
"391",70901,3.46152108333333,"Sayilem"
"392",70902,3.567625,"Gesha"
"393",70903,3.1763024,"Gewata"
"394",70904,3.100033,"Gimbo"
"395",70905,2.7450553030303,"Menjwo"
"396",70906,2.092599,"Tulo"
"397",70907,1.8199038,"Cheta"
"398",70908,2.8864605,"Decha"
"399",70909,3.02296184,"CHENA"
"400",70910,3.59593907692308,"Bita"
"401",71001,2.499577,"Melekoza"
"402",71003,0.8100868,"Kucha"
"403",71005,0.4558964,"Mirab Abaya"
"404",71006,1.266419,"Ariba Minichi Zuriya"
"405",71007,1.3201334,"CHENCHA"
"406",71008,1.7330605,"DITA"
"407",71009,2.3049985,"Deramalo"
"408",71012,1.596341,"KEMBA"
"409",71013,1.79451579166667,"BONKE"
"410",71104,2.343214,"Shay Bench"
"411",71105,2.229264,"MEANT GOLDIYA"
"412",71107,2.37062314285714,"MAJI"
"413",71201,2.69796494736842,"YEME SPECIAL"
"414",71701,2.8737886,"Tocha"
"415",71702,2.34820597058824,"Mareka"
"416",71703,2.1304296,"Loma"
"417",71704,3.031345,"Gena Bosa"
"418",71705,2.34916815,"Esira"
"419",71801,2.13192672727273,"Basketo"
"420",71901,2.29639520512821,"Konta  Special"
"421",72001,1.83876970833333,"Alicho Woriro"
"422",72002,0.535049778947368,"Silite"
"423",72003,0.861040675,"Lanifaro"
"424",72004,1.84838772727273,"MIRAB AZERNET BERBERE"
"425",72005,1.298187,"Dalocha"
"426",72006,0.387122133333333,"Sankura"
"427",72007,1.96004433333333,"Misirak Azerenet Berbere"
"428",72008,0.679847833333333,"Wilbareg"
"429",72101,0.828728189411765,"Alaba"
