EA_number,Year,REGION_NAME,mean_dist_pp50k,mean_roadden,mean_Area_Ha,elevation7_sq,SLOPE_sq,Total_agr_ecological,cwd_early,cwd_late,pdsi_early,pdsi_late,cwd_w,cwd,pdsi,AcidLevel
3792,2014,Amhara,20193.591796875,0.381974428892136,1216.90747070312,3471405.25,53.1589546203613,8,451.228416363306,368.007105879925,-42.3934354803569,200.322767125623,409.617761121616,409.617761121616,78.964665822633,Neutral
3793,2015,Amhara,20193.591796875,0.381974428892136,1216.90747070312,3471405.25,53.1589546203613,8,265.369193190059,651.446616971805,-194.393085027452,-177.554643816718,458.407905080932,458.407905080932,-185.973864422085,Neutral
3794,2016,Amhara,20193.591796875,0.381974428892136,1216.90747070312,3471405.25,53.1589546203613,8,440.196459899451,996.454915233547,-330.490730888999,-549.46436167582,718.325687566499,718.325687566499,-439.977546282409,Neutral
3795,2010,Amhara,21844.4140625,0.292668223381042,483.956665039062,3593397.5,148.200958251953,8,351.663648685854,809.726528580807,-108.552110468687,-234.502583815153,580.69508863333,580.69508863333,-171.52734714192,Neutral
3796,2011,Amhara,21844.4140625,0.292668223381042,483.956665039062,3593397.5,148.200958251953,8,313.673983946461,601.208441874749,-92.7265285808078,-102.88544380202,457.441212910605,457.441212910605,-97.8059861914139,Neutral
3797,2012,Amhara,21844.4140625,0.292668223381042,483.956665039062,3593397.5,148.200958251953,8,400.106370586866,775.169250481816,-79.3281657030306,-30.0495266535357,587.637810534341,587.637810534341,-54.6888461782832,Neutral
3798,2013,Amhara,21844.4140625,0.292668223381042,483.956665039062,3593397.5,148.200958251953,8,133.647277463625,456.70800770909,329.281657030307,242.216627485862,295.177642586357,295.177642586357,285.749142258084,Neutral
3799,2014,Amhara,21844.4140625,0.292668223381042,483.956665039062,3593397.5,148.200958251953,8,449.161064870705,372.413865768685,-42.7213609505052,199.453057161616,410.787465319695,410.787465319695,78.3658481055554,Neutral
3800,2015,Amhara,21844.4140625,0.292668223381042,483.956665039062,3593397.5,148.200958251953,8,262.509901094946,658.065029544444,-193.890611432323,-176.239447656564,460.287465319695,460.287465319695,-185.065029544444,Neutral
3801,2016,Amhara,21844.4140625,0.292668223381042,483.956665039062,3593397.5,148.200958251953,8,438.270453438381,1002.55727809899,-330.333333333333,-549.388027617174,720.413865768685,720.413865768685,-439.860680475254,Neutral
